Actual,Predicted
3.55,3.3806462
3.23,3.390839
3.29,3.3645701
3.44,3.3777542
3.39,3.3880882
2.98,3.3695445
3.66,3.393105
3.1,3.3774843
3.57,3.3749862
3.08,3.3898048
3.58,3.3832293
3.04,3.3723383
3.2,3.3704066
3.55,3.3869853
2.95,3.3801537
3.63,3.3939838
3.77,3.37716
3.3,3.3807464
2.67,3.3716006
3.55,3.3896823
3.7,3.3906078
3.01,3.379848
3.38,3.3469357
3.78,3.3988452
3.03,3.358099
3.57,3.3735304
2.82,3.3713312
3.44,3.3713775
3.75,3.393536
3.08,3.3506408
3.48,3.3782105
3.49,3.3973722
3.13,3.373056
2.44,3.3443027
3.51,3.380577
3.83,3.399066
3.57,3.4017367
3.97,3.3955698
3.68,3.3882608
3.27,3.3879547
2.86,3.3747497
3.85,3.392149
3.29,3.3759346
3.42,3.3849893
2.08,3.3835
3.56,3.3791127
3.78,3.3835316
2.81,3.3737054
2.82,3.3655353
3.63,3.3751202
2.65,3.3641973
3.67,3.3778763
3.19,3.3739295
3.53,3.3924394
2.47,3.3697863
3.79,3.3991423
3.71,3.3839607
2.64,3.3844652
2.92,3.369236
3.67,3.387858
3.46,3.3783607
3.41,3.384544
3.53,3.3999958
3.78,3.379249
3.12,3.3804932
3.39,3.380106
3.6,3.3941355
3.0,3.372501
2.94,3.3735018
3.51,3.3861032
3.26,3.37608
3.33,3.364829
3.55,3.3729181
3.75,3.3930879
3.71,3.3817024
3.86,3.3809395
3.64,3.3792787
3.18,3.379181
3.51,3.3961587
3.73,3.3882318
3.65,3.3905678
2.69,3.3572378
3.4,3.3914285
3.16,3.3665814
3.91,3.3984232
3.62,3.3855777
3.53,3.3831983
3.3,3.3744774
2.75,3.377574
2.92,3.3829393
3.51,3.3806314
3.08,3.3677454
3.05,3.390964
3.25,3.3767157
2.95,3.3573937
3.96,3.399434
3.34,3.3739624
2.97,3.3732686
3.59,3.3929543
3.54,3.3823376
3.61,3.3780184
3.23,3.3920307
3.73,3.3922262
3.02,3.3841658
3.24,3.390829
3.49,3.384221
3.74,3.394824
3.97,3.3883033
3.35,3.3839774
3.7,3.3880868
3.5,3.3852081
3.54,3.3788815
3.77,3.4025488
3.34,3.3835897
2.83,3.3661919
3.67,3.4039478
2.56,3.367557
3.59,3.3842711
3.62,3.3702745
3.23,3.3746166
3.3,3.3691854
1.98,3.3430943
3.12,3.3732533
3.36,3.37719
3.42,3.374641
3.23,3.393381
3.08,3.3658204
3.03,3.3740802
3.13,3.38057
3.88,3.3953295
3.64,3.3849158
3.25,3.3784323
3.12,3.3821006
3.09,3.371778
2.95,3.3656006
3.48,3.3905563
3.77,3.3854394
3.24,3.3868103
2.55,3.3763394
3.16,3.3810039
3.4,3.3779802
3.16,3.369331
3.33,3.3781295
3.24,3.3667455
