Actual,Predicted
3.29,2.618039
3.44,4.108623
3.39,4.127923
2.98,3.080525
3.66,2.6866772
3.1,2.9505231
3.57,3.6705482
3.08,4.1260967
3.58,3.1216784
3.04,3.1923225
3.2,2.4134533
3.55,3.2689204
2.95,3.7581494
3.63,3.4603152
3.77,4.109455
3.3,2.4366398
2.67,2.513499
3.55,3.908511
3.7,4.072608
3.01,2.9958317
3.38,3.8346918
3.78,4.211594
3.03,3.1560724
3.57,3.1364691
2.82,2.6835043
3.44,2.577981
3.75,3.7604914
3.08,3.205174
3.48,3.4160604
3.49,4.247206
3.13,3.6827185
2.44,2.5678246
3.51,2.7440648
3.83,2.7927814
3.57,3.5247624
3.97,3.0558832
3.68,4.0599914
3.27,3.6986692
2.86,2.612429
3.85,3.9600632
3.29,2.7419858
3.42,2.456319
2.08,4.139572
3.56,2.7009327
3.78,2.919903
2.81,2.964374
2.82,3.2140555
3.63,3.9164956
2.65,2.7139318
3.67,3.4153056
3.19,2.6831188
3.53,3.3776941
2.47,3.2987828
3.79,3.322158
3.71,2.9236615
2.64,4.0827317
2.92,4.006472
3.67,3.9554732
3.46,3.1035426
3.41,2.495223
3.53,3.2006981
3.78,2.5980468
3.12,4.090689
3.39,3.8802001
3.6,4.077784
3.0,3.4394314
2.94,2.4725866
3.51,3.019713
3.26,2.4813163
3.33,3.276707
3.55,3.1393554
3.75,3.9217236
3.71,3.2225273
3.86,3.1568794
3.64,3.2645957
3.18,2.5360367
3.51,4.211975
3.73,3.8525789
3.65,2.682911
2.69,2.4307935
3.4,4.1812506
3.16,2.4634876
3.91,4.172914
3.62,3.0854745
3.53,2.866331
3.3,2.4287777
2.75,3.1461477
2.92,4.1126623
3.51,2.7584007
3.08,2.453647
3.05,4.108101
3.25,2.6430368
2.95,2.7424912
3.96,4.240092
3.34,2.8893328
2.97,3.8133776
3.59,3.910168
3.54,2.485515
3.61,3.2049832
3.23,4.130192
3.73,2.5118196
3.02,3.8760626
3.24,4.167217
3.49,4.1398044
3.74,3.9703891
3.97,3.444077
3.35,3.0595214
3.7,2.812309
3.5,2.9261787
3.54,2.6475558
3.77,2.7126832
3.34,3.8905575
2.83,2.751294
3.67,3.944198
2.56,3.8767493
3.59,2.6136193
3.62,3.089586
3.23,2.4281845
3.3,3.245242
1.98,2.6379251
3.12,3.8626225
3.36,4.0103655
3.42,3.9102247
3.23,4.165052
3.08,2.649699
3.03,2.9208941
3.13,3.1460204
3.88,3.9283426
3.64,3.119204
3.25,2.6376243
3.12,3.8391826
3.09,2.530554
2.95,2.3951147
3.48,4.1081066
3.77,2.8136358
3.24,2.9764574
2.55,3.698909
3.16,4.0764866
3.4,2.9045098
3.16,2.5718832
3.33,2.4749053
3.24,3.8478014
3.25,3.4047494
3.26,3.472134
3.24,3.8161829
3.89,3.3333638
2.78,3.0483687
3.03,3.8698304
3.53,3.1209092
2.11,3.3805132
2.32,3.1462917
2.68,4.0092335
1.87,2.5896597
3.08,3.2320428
3.41,4.0606923
3.56,3.7599077
3.47,4.169273
3.63,2.7664618
3.87,3.2323153
3.77,3.3415427
3.3,3.6477997
3.66,2.8159246
3.8,2.9485712
3.32,4.1340933
3.48,3.8481247
3.09,4.094116
3.75,2.6782384
3.24,3.4649103
3.31,2.8818429
3.49,2.5225568
2.52,3.0682964
2.79,2.7722445
3.0,3.268964
3.67,3.2242858
3.62,4.196417
3.74,2.7862258
2.71,3.2278695
3.51,3.2285364
3.07,3.9487064
3.72,4.0671177
3.81,3.9383428
3.43,3.8217556
2.55,2.7975402
3.5,2.6001287
3.93,4.079432
3.56,2.6105127
3.3,2.9017994
3.33,4.112076
3.73,3.9146707
3.96,3.3550646
3.09,3.4250715
2.75,3.1470702
3.18,3.1667678
3.87,3.7219038
1.73,2.9819722
3.19,3.8771327
3.43,2.946202
3.52,4.0113716
3.9,3.7262716
3.72,3.10209
3.28,3.3082066
3.5,2.6053874
3.79,4.156186
3.1,3.391682
3.04,4.0877986
3.28,3.9335043
3.45,3.8949792
2.82,2.9078727
3.2,3.0360892
2.61,2.764186
2.79,2.678814
3.77,2.65737
2.74,3.0720212
3.59,2.9994953
2.93,3.7384253
3.13,4.177976
2.47,4.2112226
3.69,2.6441965
2.84,2.6097143
3.3,3.0851188
3.96,3.3202488
3.31,2.7479484
3.53,2.6968384
3.7,2.9804757
3.71,4.208446
3.61,2.653694
3.56,3.0075212
3.43,2.7561154
3.13,4.115404
3.91,4.2255964
2.37,2.9778469
3.28,3.651784
3.36,3.878153
3.0,3.401991
3.89,4.239056
3.22,3.6339972
3.37,3.8854296
2.9,3.0882208
2.68,2.4792192
3.56,3.16743
3.75,4.0032187
3.8,3.6855826
3.53,2.5960672
3.61,4.1479883
3.75,3.1567442
3.56,3.4110262
3.57,4.156614
2.97,2.7089407
3.52,2.7121663
2.96,3.4443398
3.92,2.837763
3.53,3.2367601
2.91,2.5798903
3.11,3.846935
3.15,2.8557713
2.63,3.3646722
3.39,2.587559
3.2,2.9580677
3.19,2.6629238
3.69,2.589763
3.4,3.9869735
3.03,2.896317
3.51,4.055814
3.63,2.7275314
3.48,2.4852002
3.37,3.683162
3.64,3.9288485
3.41,2.9247258
3.52,2.9641867
3.28,2.7408986
3.13,4.1849256
3.32,2.6933339
3.75,3.8739216
3.89,3.6834056
3.65,3.9054496
3.57,2.447794
3.78,4.259121
2.93,3.8483846
3.91,2.5415676
3.95,3.0081398
3.55,3.894591
3.21,2.6365242
3.73,3.8573482
3.49,2.929535
2.63,3.4068394
3.11,3.2367811
3.53,3.2182457
3.5,3.7924328
3.64,3.985206
2.95,3.2025552
2.81,3.8382142
3.67,3.7240145
3.74,2.4481099
3.24,3.8172705
2.47,4.1851697
3.52,4.2549167
3.67,2.670578
3.78,3.9016297
3.92,4.2239537
3.86,4.1858387
3.87,4.1121583
3.49,4.192295
3.11,2.7598042
2.97,4.053909
2.94,2.9244547
3.74,2.4774036
3.82,3.914643
2.94,2.7256026
2.88,2.6545687
3.39,2.704552
3.24,2.7479248
2.96,3.3883326
2.64,2.4498289
2.82,2.773061
3.19,3.908419
3.47,2.4468217
2.71,3.1665928
3.57,3.8822992
3.75,3.0078237
3.3,2.723921
3.31,3.672906
3.51,2.7011974
3.95,4.0204916
3.42,3.878524
3.32,2.686683
3.33,2.8679852
3.26,2.6838222
3.45,3.468473
3.28,3.823108
3.84,3.006009
3.41,2.4843628
3.24,2.8377848
3.24,2.4380045
3.39,3.9787028
3.29,3.802778
3.51,4.031931
3.92,3.1956644
3.89,3.0263715
3.76,3.103686
3.19,4.099338
3.89,4.0815487
2.65,2.6229663
2.93,2.6099393
3.59,2.77556
3.56,3.1597044
3.45,2.4806736
3.05,3.2224076
3.38,2.4815705
3.58,2.4366984
3.09,2.6018388
3.22,2.573344
3.29,2.9760602
3.7,3.9449284
3.66,3.3029528
3.33,4.010731
3.89,3.929652
2.52,2.6793973
3.65,3.2268167
3.28,2.8946033
2.8,2.9271858
3.6,3.8682988
3.62,2.9984033
3.07,2.751629
3.9,3.1221457
2.24,2.807506
2.76,3.777631
3.72,3.1870084
2.99,3.0895796
3.27,3.0946038
3.61,3.995745
2.96,3.2235382
3.1,2.889001
3.26,3.7006278
3.44,2.6165125
3.34,2.6183515
3.67,3.4487832
3.86,4.186222
3.21,2.5083718
3.22,2.932432
3.1,3.0434854
2.96,3.1299229
3.2,2.8586538
2.6,4.0924854
3.45,2.7376566
3.76,4.11764
3.79,4.1401887
3.89,3.7161574
2.5,2.8897896
3.51,4.021073
3.43,3.70948
3.75,3.236296
3.62,2.5356293
