Actual,Predicted
3.22,3.3194137
3.13,3.418643
3.04,3.2664168
2.99,3.3461733
3.63,3.4206223
3.49,3.4097757
3.62,3.4724772
3.93,3.452234
3.38,3.3833828
3.49,3.4256227
3.32,3.4499543
3.56,3.4057927
3.51,3.4128594
3.8,3.4304268
3.08,3.3842597
3.46,3.401022
3.52,3.316393
3.19,3.2729084
3.0,3.3422241
3.01,3.202574
3.77,3.3658085
3.56,3.4007134
3.96,3.5657897
3.34,3.3251786
3.8,3.4350462
3.57,3.3951917
2.94,3.2381673
3.36,3.3440273
3.1,3.3611274
3.16,3.3828406
2.8,3.2095828
3.78,3.4424152
3.67,3.3959198
3.58,3.3866134
3.39,3.207839
3.68,3.480185
3.87,3.4188523
3.42,3.4422212
3.57,3.4349084
3.77,3.4687636
3.45,3.4127321
3.82,3.4370573
2.98,3.2784023
3.19,3.333446
3.52,3.4007044
2.62,3.1453204
3.42,3.367206
3.69,3.4019787
3.48,3.369869
2.76,3.248662
3.6,3.4919
3.17,3.3049908
2.9,3.27927
2.9,3.2739859
3.61,3.3574257
3.11,3.2384481
2.94,3.281793
3.25,3.3616858
3.44,3.3519235
3.68,3.4433565
3.57,3.48002
3.58,3.4049306
3.71,3.5616527
3.2,3.3447053
2.88,3.2705977
3.78,3.3880796
3.8,3.3581648
3.67,3.4176064
2.3,3.2371178
3.74,3.4149363
2.77,3.2125669
3.26,3.3431733
3.16,3.3193579
3.26,3.3559878
3.17,3.3143153
2.99,3.334815
3.38,3.3504915
3.23,3.2891574
2.75,3.2676528
3.56,3.3935275
2.97,3.3771615
3.3,3.32802
2.76,3.2704844
3.82,3.3993988
3.38,3.3029547
3.59,3.3815122
3.39,3.4331145
3.32,3.4126081
3.88,3.452684
3.72,3.4030514
3.29,3.376729
3.18,3.356351
3.65,3.3798895
3.54,3.3994155
2.49,3.381519
3.21,3.3901696
3.92,3.5132685
3.25,3.253941
3.47,3.3837037
3.47,3.3461156
3.23,3.313601
3.8,3.3889985
3.17,3.341957
2.89,3.3311281
3.06,3.3775294
3.59,3.383649
3.67,3.3704245
3.03,3.3202481
3.94,3.2753196
2.51,3.0311003
3.28,3.3544426
3.13,3.3389153
2.94,3.2324347
3.78,3.4744387
3.62,3.3637586
3.09,3.348968
3.39,3.2782662
3.29,3.3327608
3.87,3.460457
3.02,3.2640638
3.34,3.254638
3.83,3.4152315
3.93,3.5125723
3.44,3.429022
3.68,3.4454875
3.64,3.4443264
3.17,3.3805978
3.78,3.4376807
3.54,3.4893103
3.05,3.3199124
3.69,3.4528089
3.86,3.4877427
3.4,3.3782282
3.0,3.2905614
3.08,3.3089335
3.96,3.416932
3.35,3.3833592
3.51,3.315541
3.83,3.4302304
3.64,3.394064
3.43,3.4500375
3.47,3.3675504
3.51,3.4265687
2.62,3.2981024
3.14,3.3311033
3.67,3.3614254
3.61,3.3269248
3.67,3.4211187
3.65,3.3778877
3.33,3.3576286
3.93,3.4394522
3.4,3.3338313
3.22,3.3509746
3.0,3.2314172
3.36,3.4041514
3.59,3.096622
3.64,3.4314575
3.6,3.3757324
3.94,3.3400805
3.47,3.4247756
3.93,3.4031
3.18,3.3746219
3.95,3.4126296
3.29,3.3630338
3.11,3.332488
3.88,3.4826727
2.96,3.195053
3.65,3.3865867
3.44,3.53338
3.95,3.4903338
3.73,3.4059958
3.53,3.3548427
3.47,3.3777776
2.73,3.2735941
3.45,3.3832755
3.67,3.422186
3.15,3.3821096
3.52,3.3873935
3.29,3.2725415
2.53,3.2572627
3.1,3.3133674
2.67,3.327888
2.7,3.2817388
3.48,3.4226208
3.26,3.328565
3.5,3.3625982
3.4,3.3539271
3.26,3.359254
3.72,3.4827633
3.16,3.3725357
3.3,3.300766
3.61,3.321854
3.11,3.299117
3.11,3.3866684
3.71,3.4440513
3.77,3.4135358
3.79,3.4792585
3.34,3.4162216
3.96,3.4879155
3.22,3.3533938
3.22,3.3425016
3.52,3.4200232
3.51,3.324586
2.9,3.2690206
3.87,3.4251053
3.76,3.417199
3.77,3.4145803
3.45,3.3662696
3.7,3.4309597
3.26,3.2757716
3.39,3.4137547
3.43,3.4409199
2.76,3.1841931
3.07,3.3302987
3.34,3.450373
3.89,3.4503481
3.6,3.4760273
3.36,3.3043537
3.6,3.2941809
3.79,3.517675
3.63,3.3016598
3.53,3.3837633
3.49,3.3727682
3.88,3.4433188
2.97,3.319131
3.46,3.3845608
3.11,3.3279042
3.45,3.3963132
1.97,3.2324116
2.87,3.0923486
3.22,3.3195515
3.35,3.3581257
3.33,3.3588834
3.78,3.383339
3.34,3.290801
2.63,3.2301352
2.93,3.2751365
3.37,3.366689
3.85,3.2979825
3.18,3.1952038
3.97,3.4068646
3.79,3.4017494
3.86,3.4067335
3.67,3.3421803
3.55,3.3341203
3.81,3.323229
3.78,3.3943486
3.24,3.2551942
3.74,3.269762
3.64,3.4218535
3.57,3.444644
3.38,3.2947078
2.79,3.355213
3.58,3.44759
3.12,3.2693253
3.46,3.3822317
3.08,3.2860725
3.28,3.2727633
3.46,3.452052
2.9,3.1747334
3.53,3.447122
2.7,3.098226
3.34,3.3490129
2.95,3.3001068
3.67,3.4308596
2.67,3.1676927
3.55,3.370565
3.25,3.3549616
2.85,3.2644174
3.96,3.4452016
3.02,3.2893033
3.49,3.445838
3.58,3.2115638
3.89,3.4379187
3.65,3.2978973
3.86,3.521827
3.94,3.4803698
3.7,3.4681416
3.66,3.4191773
3.44,3.349488
3.17,3.2914886
3.58,3.348453
3.29,3.3196754
3.65,3.4044557
2.96,3.261015
3.78,3.4927537
3.64,3.4136276
3.24,3.3877444
3.61,3.3919916
3.18,3.2949424
3.46,3.4015043
3.47,3.3840227
3.44,3.4300284
3.64,3.4478095
3.3,3.3682084
3.37,3.3392115
3.75,3.4381256
3.71,3.40557
3.34,3.2893674
3.43,3.3622184
3.56,3.3690739
3.82,3.4484248
3.71,3.42736
2.94,3.3069806
3.44,3.40541
3.34,3.2980514
3.6,3.4063697
3.54,3.389189
3.68,3.4866905
3.83,3.456581
3.92,3.5889564
3.59,3.404748
3.74,3.5548897
3.53,3.3697643
3.26,3.3345084
3.78,3.4605293
3.6,3.4382615
3.27,3.416695
3.23,3.3481183
3.63,3.440233
3.78,3.4391725
3.56,3.433926
3.5,3.4185696
2.8,3.277268
3.31,3.333879
3.55,3.378059
3.23,3.370832
3.29,3.349297
3.44,3.3236823
3.39,3.3294544
2.98,3.2925277
3.66,3.472608
3.1,3.3531423
3.57,3.3079548
3.08,3.3314638
3.58,3.3898625
3.04,3.302302
3.2,3.3091292
3.55,3.4086494
2.95,3.3310084
3.63,3.4581926
3.77,3.3188906
3.3,3.383296
2.67,3.3389242
3.55,3.4184103
3.7,3.4299376
3.01,3.3855095
3.38,3.2017846
3.78,3.4316566
3.03,3.2004504
3.57,3.335931
2.82,3.4038026
3.44,3.3115492
3.75,3.4558015
3.08,3.133749
3.48,3.3457294
3.49,3.4056587
3.13,3.297657
2.44,3.1054842
3.51,3.4046454
3.83,3.4780428
3.57,3.5286398
3.97,3.4738328
3.68,3.416539
3.27,3.401141
2.86,3.3524384
3.85,3.4513848
3.29,3.3402689
3.42,3.398187
2.08,3.256638
3.56,3.3787203
3.78,3.3900566
2.81,3.306294
2.82,3.2605853
3.63,3.3869188
2.65,3.3588881
3.67,3.3433266
