Actual,Predicted
3.23,3.3852766
3.29,3.3096225
3.44,3.3798168
3.39,3.391444
2.98,3.3325908
3.66,3.4148974
3.1,3.361278
3.57,3.3840563
3.08,3.3848975
3.58,3.3936927
3.04,3.3251865
3.2,3.2881498
3.55,3.404621
2.95,3.3520646
3.63,3.450709
3.77,3.385286
3.3,3.3120935
2.67,3.3202338
3.55,3.4502318
3.7,3.4841857
3.01,3.3646233
3.38,3.2063591
3.78,3.4050453
3.03,3.281986
3.57,3.3610342
2.82,3.3498662
3.44,3.3115003
3.75,3.447138
3.08,3.191975
3.48,3.3901398
3.49,3.409685
3.13,3.3442795
2.44,3.1280127
3.51,3.3912735
3.83,3.3584585
3.57,3.4872077
3.97,3.4095573
3.68,3.4564717
3.27,3.4082253
2.86,3.2711987
3.85,3.4724398
3.29,3.3224506
3.42,3.3597379
2.08,3.3100286
3.56,3.3903072
3.78,3.3668342
2.81,3.2739742
2.82,3.2957456
3.63,3.3230402
2.65,3.3489978
3.67,3.3894262
3.19,3.360259
3.53,3.3938951
2.47,3.3210225
3.79,3.4676223
3.71,3.3764026
2.64,3.3214254
2.92,3.382976
3.67,3.3819957
3.46,3.3653517
3.41,3.3693166
3.53,3.4086142
3.78,3.3387096
3.12,3.306766
3.39,3.4089878
3.6,3.483092
3.0,3.3647
2.94,3.3194544
3.51,3.4082737
3.26,3.336391
3.33,3.302925
3.55,3.37296
3.75,3.4746497
3.71,3.373337
3.86,3.3883142
3.64,3.385669
3.18,3.3532794
3.51,3.4109843
3.73,3.4137404
3.65,3.4161787
2.69,3.2619889
3.4,3.3668826
3.16,3.3273094
3.91,3.4493294
3.62,3.3999119
3.53,3.4129357
3.3,3.320629
2.75,3.371394
2.92,3.340145
3.51,3.3505244
3.08,3.283274
3.05,3.3540912
3.25,3.352325
2.95,3.2600214
3.96,3.4944746
3.34,3.318546
2.97,3.364905
3.59,3.443702
3.54,3.3499382
3.61,3.3368394
3.23,3.387642
3.73,3.350163
3.02,3.419426
3.24,3.3436737
3.49,3.316612
3.74,3.491458
3.97,3.4279644
3.35,3.3084865
3.7,3.3945544
3.5,3.3781426
3.54,3.355808
3.77,3.4547307
3.34,3.4241724
2.83,3.2730021
3.67,3.495793
2.56,3.333615
3.59,3.3663785
3.62,3.3571417
3.23,3.317582
3.3,3.3747103
1.98,3.1593812
3.12,3.3877869
3.36,3.337668
3.42,3.4029884
3.23,3.4455686
3.08,3.3002737
3.03,3.3289452
3.13,3.3334794
3.88,3.4842799
3.64,3.3820567
3.25,3.33143
3.12,3.4019978
3.09,3.3438098
2.95,3.2488909
3.48,3.4688494
3.77,3.372772
3.24,3.3963697
2.55,3.3785245
3.16,3.4172266
3.4,3.3460808
3.16,3.30115
3.33,3.337489
3.24,3.3734581
3.25,3.3733885
3.26,3.4367394
3.24,3.3664596
3.89,3.3801591
2.78,3.2688394
3.03,3.2494318
3.53,3.3899958
2.11,3.3424616
2.32,3.2506616
2.68,3.3126433
1.87,3.2254472
3.08,3.3375406
3.41,3.4641225
3.56,3.4457886
3.47,3.4254887
3.63,3.3599498
3.87,3.3861105
3.77,3.4401736
3.3,3.3493896
3.66,3.3757067
3.8,3.4094403
3.32,3.3656638
3.48,3.4104218
3.09,3.3153682
3.75,3.413504
3.24,3.420653
3.31,3.265615
3.49,3.3945656
2.52,3.1899486
2.79,3.2650297
3.0,3.3260899
3.67,3.3757174
3.62,3.3852541
3.74,3.3963428
2.71,3.319678
3.51,3.3804233
3.07,3.2908027
3.72,3.465407
3.81,3.3526819
3.43,3.390737
2.55,3.3000903
3.5,3.3463023
3.93,3.4799225
3.56,3.3525612
3.3,3.3477652
3.33,3.3434854
3.73,3.4620035
3.96,3.460516
3.09,3.3259132
2.75,3.2509923
3.18,3.3587708
3.87,3.4482484
1.73,3.1234627
3.19,3.4041908
3.43,3.346917
3.52,3.3245761
3.9,3.466952
3.72,3.415973
3.28,3.398013
3.5,3.3455768
3.79,3.3799036
3.1,3.3516054
3.04,3.3513477
3.28,3.26882
3.45,3.4320004
2.82,3.2949903
