Actual,Predicted
3.22,3.3269346
3.13,3.384241
3.04,3.2772
2.99,3.3646243
3.63,3.3947053
3.49,3.4486654
3.62,3.4671814
3.93,3.5341823
3.38,3.3649263
3.49,3.4530752
3.32,3.4467053
3.56,3.3730469
3.51,3.4293938
3.8,3.4732044
3.08,3.3982086
3.46,3.4205542
3.52,3.2525215
3.19,3.1877887
3.0,3.3398752
3.01,3.129016
3.77,3.3743055
3.56,3.4245605
3.96,3.5341084
3.34,3.3049643
3.8,3.445132
3.57,3.421939
2.94,3.148714
3.36,3.357953
3.1,3.390141
3.16,3.4076602
2.8,3.12867
3.78,3.4707685
3.67,3.395554
3.58,3.4485364
3.39,3.1387525
3.68,3.4266725
3.87,3.4721208
3.42,3.5108795
3.57,3.4390423
3.77,3.4712567
3.45,3.411622
3.82,3.4556227
2.98,3.2703822
3.19,3.343522
3.52,3.3928611
2.62,3.134603
3.42,3.335631
3.69,3.3077712
3.48,3.3909078
2.76,3.2088993
3.6,3.4050856
3.17,3.2686749
2.9,3.2636678
2.9,3.289421
3.61,3.366283
3.11,3.1812506
2.94,3.299529
3.25,3.3621426
3.44,3.3302405
3.68,3.4635677
3.57,3.414355
3.58,3.410871
3.71,3.6320703
3.2,3.3925855
2.88,3.248683
3.78,3.388189
3.8,3.4128687
3.67,3.414378
2.3,3.108783
3.74,3.3773742
2.77,3.1941967
3.26,3.3645113
3.16,3.291648
3.26,3.3490105
3.17,3.287026
2.99,3.3275266
3.38,3.3402455
3.23,3.3001702
2.75,3.2867298
3.56,3.3973908
2.97,3.3545008
3.3,3.294894
2.76,3.2627225
3.82,3.382638
3.38,3.245141
3.59,3.41896
3.39,3.4683144
3.32,3.4210172
3.88,3.4047396
3.72,3.419876
3.29,3.3616824
3.18,3.2703266
3.65,3.412817
3.54,3.3984118
2.49,3.3576756
3.21,3.402927
3.92,3.5421238
3.25,3.224739
3.47,3.4019227
3.47,3.341608
3.23,3.3179357
3.8,3.4277427
3.17,3.3549702
2.89,3.3371098
3.06,3.4101784
3.59,3.4727712
3.67,3.308392
3.03,3.3253489
3.94,3.3028612
2.51,2.811522
3.28,3.4440713
3.13,3.3109822
2.94,3.238586
3.78,3.5334015
3.62,3.3477516
3.09,3.380554
3.39,3.292025
3.29,3.2843528
3.87,3.4707494
3.02,3.2140772
3.34,3.1666007
3.83,3.4756486
3.93,3.5624433
3.44,3.402609
3.68,3.4867845
3.64,3.477145
3.17,3.3600266
3.78,3.3671951
3.54,3.5982394
3.05,3.3642457
3.69,3.4949164
3.86,3.4730875
3.4,3.4087453
3.0,3.3120112
3.08,3.296603
3.96,3.4541554
3.35,3.3979902
3.51,3.3027077
3.83,3.4039226
3.64,3.3609004
3.43,3.507072
3.47,3.38129
3.51,3.4207854
2.62,3.261727
3.14,3.3298864
3.67,3.375515
3.61,3.3311472
3.67,3.5097275
3.65,3.371478
3.33,3.3670886
3.93,3.3784094
3.4,3.2601483
3.22,3.3373084
3.0,3.3119802
3.36,3.461779
3.59,3.1512082
3.64,3.454458
3.6,3.3286614
3.94,3.321819
3.47,3.4725575
3.93,3.4091756
3.18,3.3616378
3.95,3.3712764
3.29,3.369313
3.11,3.3495839
3.88,3.528805
2.96,3.1823013
3.65,3.432539
3.44,3.6246924
3.95,3.521837
3.73,3.420464
3.53,3.3282993
3.47,3.376349
2.73,3.262057
3.45,3.3736696
3.67,3.4824636
3.15,3.4596453
3.52,3.435679
3.29,3.239547
2.53,3.18885
3.1,3.297796
2.67,3.2892387
2.7,3.287464
3.48,3.4594593
3.26,3.3346994
3.5,3.3699634
3.4,3.3573904
3.26,3.3734686
3.72,3.500091
3.16,3.4150634
3.3,3.2949681
3.61,3.3314843
3.11,3.271826
3.11,3.382628
3.71,3.4576101
3.77,3.4258904
3.79,3.4451
3.34,3.4622965
3.96,3.4374585
3.22,3.362416
3.22,3.3358712
3.52,3.4227943
3.51,3.2951713
2.9,3.2262204
3.87,3.3664637
3.76,3.4574451
3.77,3.4597707
3.45,3.3727417
3.7,3.4192162
3.26,3.2529848
3.39,3.4612212
3.43,3.4257052
2.76,3.1598487
3.07,3.3539531
3.34,3.4388614
3.89,3.4886754
3.6,3.5505168
3.36,3.3125436
3.6,3.2407827
3.79,3.593361
3.63,3.2943795
3.53,3.3757458
3.49,3.3528523
3.88,3.4156628
2.97,3.3237517
3.46,3.431239
3.11,3.2690792
3.45,3.4426491
1.97,3.2347777
2.87,3.0003679
3.22,3.2888486
3.35,3.3555796
3.33,3.3314676
3.78,3.3244915
3.34,3.173913
2.63,3.0916889
2.93,3.2486897
3.37,3.3901396
3.85,3.3058927
3.18,3.1506824
3.97,3.4425159
3.79,3.3548374
3.86,3.467729
3.67,3.3449554
3.55,3.3505373
3.81,3.3259385
3.78,3.4656808
3.24,3.247933
3.74,3.2666214
3.64,3.471154
3.57,3.4960082
3.38,3.3014026
2.79,3.3582015
3.58,3.4570627
3.12,3.1370575
3.46,3.4440377
3.08,3.252152
3.28,3.2074406
3.46,3.4921222
2.9,3.2245774
3.53,3.506756
2.7,3.0580225
3.34,3.3394868
2.95,3.3162055
3.67,3.4535506
2.67,3.0828538
3.55,3.3872442
3.25,3.4136689
2.85,3.2659802
3.96,3.5144887
3.02,3.1223633
3.49,3.4610703
3.58,3.1978426
3.89,3.503879
3.65,3.3129816
3.86,3.503993
3.94,3.502365
3.7,3.4946508
3.66,3.4149218
3.44,3.375778
3.17,3.2986584
3.58,3.3416953
3.29,3.3243124
3.65,3.3950677
2.96,3.235293
3.78,3.4919806
3.64,3.4020343
3.24,3.3971684
3.61,3.4120445
3.18,3.2690935
3.46,3.3761911
3.47,3.4049761
3.44,3.4358335
3.64,3.4930432
3.3,3.359676
3.37,3.3691418
3.75,3.4071395
3.71,3.4683373
3.34,3.2889886
3.43,3.4201446
3.56,3.341857
3.82,3.535449
3.71,3.4758463
2.94,3.320005
3.44,3.4859564
3.34,3.2886996
3.6,3.3995812
3.54,3.4237492
3.68,3.556036
3.83,3.4848475
3.92,3.5755458
3.59,3.451488
3.74,3.6282194
3.53,3.3684008
3.26,3.3159642
3.78,3.5240736
3.6,3.533283
3.27,3.4154174
3.23,3.351488
3.63,3.4951243
3.78,3.4778032
3.56,3.5181148
3.5,3.4095051
2.8,3.2209013
3.31,3.3369453
3.55,3.3482354
3.23,3.3716729
3.29,3.3082764
3.44,3.329694
3.39,3.401776
2.98,3.2891066
3.66,3.499518
3.1,3.3610728
3.57,3.335095
3.08,3.396884
3.58,3.413708
3.04,3.2777722
3.2,3.265068
3.55,3.4349914
2.95,3.279988
3.63,3.5068228
3.77,3.3323104
3.3,3.332439
2.67,3.3317807
3.55,3.4667544
3.7,3.5112205
3.01,3.3925197
3.38,3.1370084
3.78,3.4180517
3.03,3.1726723
3.57,3.356835
2.82,3.3869514
3.44,3.2889953
3.75,3.4988186
3.08,3.0006232
3.48,3.375084
3.49,3.4158697
3.13,3.2869244
2.44,2.9312382
3.51,3.4479883
3.83,3.3950932
3.57,3.5982933
3.97,3.5103335
3.68,3.4801593
3.27,3.4125319
2.86,3.2716146
3.85,3.5213113
3.29,3.3113427
3.42,3.4056482
2.08,3.2505708
3.56,3.422758
3.78,3.3852975
2.81,3.2009935
2.82,3.2219546
3.63,3.3286014
2.65,3.3643234
3.67,3.3729768
3.19,3.3672447
3.53,3.4046247
2.47,3.2801895
3.79,3.5542426
3.71,3.3984246
2.64,3.296774
2.92,3.3552525
3.67,3.4204135
3.46,3.375035
3.41,3.4224734
3.53,3.4533374
3.78,3.3511038
3.12,3.3262806
3.39,3.383087
3.6,3.5220237
3.0,3.3417695
2.94,3.319314
3.51,3.4684153
3.26,3.349326
3.33,3.2516851
3.55,3.368922
3.75,3.5088615
3.71,3.370672
3.86,3.4173062
3.64,3.381498
3.18,3.399835
3.51,3.4197838
3.73,3.4123845
3.65,3.4916081
2.69,3.189485
3.4,3.347781
3.16,3.3029947
3.91,3.5061703
3.62,3.4249508
3.53,3.457421
3.3,3.3193645
2.75,3.3843825
2.92,3.3780603
3.51,3.3626657
3.08,3.2678878
3.05,3.357283
3.25,3.363067
2.95,3.2139556
3.96,3.6084764
3.34,3.2914686
2.97,3.3121557
3.59,3.4855115
3.54,3.3909063
3.61,3.3129747
3.23,3.405993
3.73,3.3802605
3.02,3.4110305
3.24,3.3144174
3.49,3.3442793
3.74,3.5541902
3.97,3.4582565
3.35,3.2630243
3.7,3.4504347
3.5,3.40517
3.54,3.3753343
3.77,3.5826955
3.34,3.4126577
2.83,3.234079
3.67,3.588406
2.56,3.3160903
3.59,3.4031508
3.62,3.3214047
3.23,3.3162138
3.3,3.3306916
1.98,2.9925232
3.12,3.3417163
3.36,3.2716312
3.42,3.39786
3.23,3.4889164
3.08,3.2783732
3.03,3.3113804
3.13,3.2904382
3.88,3.528816
3.64,3.4195833
3.25,3.3578994
3.12,3.3756397
3.09,3.389141
2.95,3.1998618
3.48,3.53695
3.77,3.425992
3.24,3.4380975
2.55,3.3404176
3.16,3.4618766
3.4,3.3396122
3.16,3.2689
3.33,3.3602295
3.24,3.308064
3.25,3.3408554
3.26,3.4691262
3.24,3.318346
3.89,3.3878055
2.78,3.2015889
3.03,3.2232873
3.53,3.4102597
2.11,3.269691
2.32,3.135696
2.68,3.303018
1.87,3.0860088
3.08,3.2830281
3.41,3.4828358
3.56,3.4968405
3.47,3.5113626
3.63,3.3859575
3.87,3.399536
3.77,3.5105724
3.3,3.2658286
3.66,3.4327188
3.8,3.4721146
3.32,3.4274678
3.48,3.4003425
3.09,3.3348846
3.75,3.4873915
3.24,3.4449055
3.31,3.1727498
3.49,3.4841213
2.52,3.0252335
2.79,3.1858106
3.0,3.2711983
3.67,3.3758957
3.62,3.3827946
3.74,3.4495373
2.71,3.282137
3.51,3.3880615
3.07,3.2120194
3.72,3.496657
3.81,3.3795323
3.43,3.353555
2.55,3.278855
3.5,3.3603466
3.93,3.5250237
3.56,3.3878999
3.3,3.3339078
3.33,3.3773377
3.73,3.4865546
3.96,3.551629
3.09,3.2906384
2.75,3.1376903
3.18,3.3513398
3.87,3.485301
1.73,2.9030273
3.19,3.3750331
3.43,3.3613641
3.52,3.3094072
3.9,3.5038798
3.72,3.4714847
3.28,3.3959985
3.5,3.3720155
3.79,3.3750758
3.1,3.300247
3.04,3.4054966
3.28,3.176369
3.45,3.4266
2.82,3.2655487
3.2,3.2715826
2.61,3.1783586
2.79,3.251592
3.77,3.4047186
2.74,3.3135748
3.59,3.34347
2.93,2.9556384
3.13,3.4036639
2.47,3.3325355
3.69,3.3661916
2.84,3.2761512
3.3,3.3013558
3.96,3.5471015
3.31,3.4019842
3.53,3.4072628
3.7,3.4517963
3.71,3.5907888
3.61,3.3941934
3.56,3.4285789
3.43,3.3530114
3.13,3.3851106
3.91,3.450626
2.37,2.8911006
3.28,3.2698886
3.36,3.408677
3.0,3.2497315
3.89,3.4832191
3.22,3.21742
3.37,3.318269
2.9,3.3179343
2.68,3.2329955
3.56,3.4464245
3.75,3.3449688
3.8,3.3764682
3.53,3.344381
3.61,3.3560064
3.75,3.4431467
3.56,3.2759297
3.57,3.4685497
2.97,3.3406901
3.52,3.4532962
2.96,3.356838
3.92,3.4020166
3.53,3.4143414
2.91,3.1716282
3.11,3.3029768
3.15,3.188227
2.63,3.2122607
3.39,3.3169246
3.2,3.3067281
3.19,3.3039033
3.69,3.3321724
3.4,3.3024428
3.03,3.3140044
3.51,3.470082
3.63,3.4998388
3.48,3.3615704
3.37,3.3670917
3.64,3.357849
3.41,3.2866013
3.52,3.416726
3.28,3.4344509
3.13,3.355392
3.32,3.400465
3.75,3.4779582
3.89,3.3704612
3.65,3.376658
3.57,3.3807273
3.78,3.4440205
2.93,3.1292071
3.91,3.4135866
3.95,3.5310469
3.55,3.2099133
3.21,3.3418164
3.73,3.4303205
3.49,3.4142816
2.63,3.3480384
3.11,3.297103
3.53,3.3570352
3.5,3.4656827
3.64,3.2981584
2.95,3.3120837
2.81,3.2268856
3.67,3.491363
