,Actual,Predicted
30500,3.7860714285714288,3.7155612371861935
30349,3.335608108108109,3.368758048862219
32233,3.9630158730158733,3.957874458283186
25233,3.2211111111111115,-940148.9117898457
7080,3.2156756756756755,37458473.90519627
37208,3.516774193548387,617086781.5704105
11047,3.5051546391752577,3.336380757391453
7083,2.9032038834951455,2.8621471263468266
31489,3.8737931034482758,3.805309198796749
24847,3.7599224806201548,3.3139051161706448
8758,3.77,3.6651912685483694
3277,3.448964912280702,3.4369730539619923
5910,3.7045205479452057,3.592722039669752
14823,3.261304347826087,3.2386057004332542
24579,3.392602739726027,3.448464795947075
920,3.4322222222222223,3.3966653775423765
21846,2.7624999999999997,2.9591282345354557
23785,3.067066666666667,3.072058768942952
37514,3.335925925925926,3.555241720750928
20417,3.8886666666666665,3.7568194661289454
35352,3.598974358974359,3.708754535764456
23654,3.3606,2.7946689818054438
31701,3.6,3.3552669417113066
4011,3.786428571428572,3.831026615574956
23665,3.6331677018633535,3.8759369514882565
12823,3.529327731092437,3.5530412513762712
898,3.487027027027027,3.3916119523346424
34286,3.8768518518518515,3.5984354745596647
8826,2.974615384615385,3.297529883682728
22440,3.4595833333333332,3.3879536632448435
6122,3.110933333333333,3.173801776021719
29671,3.451612903225806,12512679.907145115
24179,1.9685714285714286,2.814664723351598
4140,2.8727272727272726,2.662301491945982
4822,3.2169565217391303,3.3264028187841177
2453,3.3470833333333334,3.2033414114266634
36280,3.3339130434782613,-524842183.8602556
32084,3.7813793103448274,265604487.5965829
22986,3.3381159420289856,2.9909397680312395
9913,2.6283999999999996,2.923342475667596
3647,2.9331111111111112,3.1119981221854687
8407,3.366504854368932,-9805955.789103497
18040,3.853235294117647,3.2129102554172277
25217,3.179474308300395,2.8372658733278513
27357,3.9695454545454543,3.9642822556197643
32210,3.7881818181818185,3.920440588146448
32986,3.8625396825396825,3.304372478276491
7306,3.6677272727272725,3.3945706337690353
24105,3.547051282051282,3.2353023551404476
14382,3.8117391304347827,3.5331672411412
35440,3.7804545454545457,-940148.4866703637
24195,3.2399999999999998,3.0694232266396284
16027,3.740360060229625,3.5386216901242733
8465,3.638260869565217,3.576487571001053
24455,3.57333850129199,3.624967833980918
2377,3.3817857142857144,3.7100335471332073
18727,2.789,3.221742983907461
37743,3.5837499999999998,3.9063939601182938
